gene,n_autoimm_dis,max_OT_score,top_disease,n_cond_cert,max_de,guidecorr,donorcorr_hits,diseases,known_immune_or_TCR,likely_essential_machinery
JAK2,9,0.751,inflammatory_bowel_disease,1,34,0.51,0.35,inflammatory_bowel_disease:0.751;ulcerative_colitis:0.723;rheumatoid_arthritis:0.688;crohns:0.685;vitiligo:0.516;asthma:0.486;psoriasis:0.472;systemic_lupus:0.459;type_1_diabetes:0.28,True,False
PTPN2,9,0.512,inflammatory_bowel_disease,1,102,0.86,0.73,inflammatory_bowel_disease:0.512;rheumatoid_arthritis:0.491;type_1_diabetes:0.479;crohns:0.459;psoriasis:0.441;systemic_lupus:0.434;celiac:0.389;ulcerative_colitis:0.369;vitiligo:0.221,True,False
TNFRSF1A,6,0.665,multiple_sclerosis,1,47,0.93,0.91,multiple_sclerosis:0.665;rheumatoid_arthritis:0.47;inflammatory_bowel_disease:0.466;crohns:0.365;psoriasis:0.363;ulcerative_colitis:0.358,True,False
NFKB1,6,0.527,inflammatory_bowel_disease,1,205,0.3,0.67,inflammatory_bowel_disease:0.527;ulcerative_colitis:0.457;rheumatoid_arthritis:0.392;psoriasis:0.385;asthma:0.385;crohns:0.378,True,False
IL21,5,0.611,inflammatory_bowel_disease,1,108,1.0,0.62,inflammatory_bowel_disease:0.611;asthma:0.432;crohns:0.41;psoriasis:0.408;celiac:0.383,True,False
GATA3,5,0.559,asthma,3,1253,0.88,0.84,asthma:0.559;rheumatoid_arthritis:0.525;inflammatory_bowel_disease:0.391;type_1_diabetes:0.325;psoriasis:0.312,True,False
IFNGR2,5,0.508,inflammatory_bowel_disease,1,70,0.92,0.67,inflammatory_bowel_disease:0.508;rheumatoid_arthritis:0.493;crohns:0.478;psoriasis:0.332;ulcerative_colitis:0.33,True,False
FOSL2,5,0.49,inflammatory_bowel_disease,3,198,0.73,0.66,inflammatory_bowel_disease:0.49;crohns:0.455;rheumatoid_arthritis:0.33;psoriasis:0.319;ulcerative_colitis:0.317,True,False
CD28,5,0.45,asthma,2,1798,0.76,0.83,asthma:0.45;inflammatory_bowel_disease:0.422;psoriasis:0.319;celiac:0.309;crohns:0.287,True,False
STAT3,4,0.568,inflammatory_bowel_disease,3,1593,0.75,0.81,inflammatory_bowel_disease:0.568;crohns:0.521;multiple_sclerosis:0.448;ulcerative_colitis:0.437,True,False
NDUFS8,4,0.49,multiple_sclerosis,1,883,0.53,0.74,multiple_sclerosis:0.49;type_1_diabetes:0.399;psoriasis:0.269;vitiligo:0.092,False,True
IMPDH2,4,0.452,inflammatory_bowel_disease,1,527,0.68,0.82,inflammatory_bowel_disease:0.452;crohns:0.447;multiple_sclerosis:0.425;systemic_lupus:0.383,False,False
RAD51B,4,0.42,asthma,1,37,0.85,0.57,asthma:0.42;rheumatoid_arthritis:0.388;psoriasis:0.329;systemic_lupus:0.309,False,True
IL4R,3,0.744,asthma,1,240,0.79,0.86,asthma:0.744;psoriasis:0.397;rheumatoid_arthritis:0.345,True,False
KEAP1,3,0.638,multiple_sclerosis,1,220,0.82,0.82,multiple_sclerosis:0.638;psoriasis:0.479;type_1_diabetes:0.326,True,False
ITGAL,3,0.593,psoriasis,1,43,0.55,0.51,psoriasis:0.593;inflammatory_bowel_disease:0.432;ulcerative_colitis:0.348,True,False
NDUFS5,3,0.553,multiple_sclerosis,1,301,0.99,0.82,multiple_sclerosis:0.553;type_1_diabetes:0.395;vitiligo:0.092,False,True
NDUFS2,3,0.536,multiple_sclerosis,1,93,0.98,0.9,multiple_sclerosis:0.536;type_1_diabetes:0.394;vitiligo:0.092,False,True
TET2,3,0.494,inflammatory_bowel_disease,3,125,0.94,0.83,inflammatory_bowel_disease:0.494;ulcerative_colitis:0.385;asthma:0.372,True,False
NDUFC1,3,0.476,multiple_sclerosis,1,182,0.79,0.85,multiple_sclerosis:0.476;type_1_diabetes:0.394;vitiligo:0.092,False,True
CEP43,3,0.444,inflammatory_bowel_disease,3,995,0.77,0.75,inflammatory_bowel_disease:0.444;crohns:0.372;vitiligo:0.134,False,True
NDUFA3,3,0.396,type_1_diabetes,1,60,0.72,0.89,type_1_diabetes:0.396;psoriasis:0.269;vitiligo:0.092,False,True
NDUFB6,3,0.395,type_1_diabetes,1,153,0.62,0.82,type_1_diabetes:0.395;psoriasis:0.274;vitiligo:0.092,False,True
ERN1,3,0.295,crohns,2,124,0.77,0.88,crohns:0.295;ulcerative_colitis:0.28;psoriasis:0.276,True,False
AHR,2,0.648,psoriasis,3,2790,0.89,0.79,psoriasis:0.648;vitiligo:0.102,True,False
IFNAR1,2,0.608,multiple_sclerosis,3,57,0.71,0.62,multiple_sclerosis:0.608;systemic_lupus:0.58,True,False
NDUFA8,2,0.554,multiple_sclerosis,2,1038,0.64,0.82,multiple_sclerosis:0.554;type_1_diabetes:0.394,False,True
RIPK1,2,0.517,inflammatory_bowel_disease,3,438,0.51,0.8,inflammatory_bowel_disease:0.517;multiple_sclerosis:0.423,True,False
TRAF3,2,0.48,asthma,3,1626,0.72,0.79,asthma:0.48;systemic_lupus:0.316,True,False
CD2,2,0.446,rheumatoid_arthritis,2,989,0.58,0.82,rheumatoid_arthritis:0.446;psoriasis:0.445,True,False
NDUFAF3,2,0.397,type_1_diabetes,1,1923,0.71,0.81,type_1_diabetes:0.397;vitiligo:0.093,False,True
NDUFA10,2,0.394,type_1_diabetes,1,129,0.63,0.84,type_1_diabetes:0.394;vitiligo:0.092,False,True
NDUFS7,2,0.394,type_1_diabetes,1,54,0.33,0.69,type_1_diabetes:0.394;vitiligo:0.092,False,True
PTPN11,2,0.388,inflammatory_bowel_disease,1,60,0.56,0.43,inflammatory_bowel_disease:0.388;psoriasis:0.332,True,False
BATF,2,0.379,inflammatory_bowel_disease,2,660,0.74,0.79,inflammatory_bowel_disease:0.379;crohns:0.289,True,False
CUL4A,2,0.337,crohns,1,103,0.4,0.79,crohns:0.337;systemic_lupus:0.277,False,True
UBE2L3,2,0.297,systemic_lupus,1,1905,0.42,0.51,systemic_lupus:0.297;celiac:0.153,True,False
APC,2,0.28,crohns,2,337,0.49,0.62,crohns:0.28;ulcerative_colitis:0.28,True,False
ITGB2,1,0.618,psoriasis,3,134,1.0,0.85,psoriasis:0.618,True,False
CDC25B,1,0.505,multiple_sclerosis,1,1208,0.32,0.59,multiple_sclerosis:0.505,False,True
TARS2,1,0.503,multiple_sclerosis,3,1824,0.57,0.71,multiple_sclerosis:0.503,False,False
TBL1XR1,1,0.502,asthma,1,135,0.47,0.85,asthma:0.502,False,False
CD247,1,0.488,asthma,2,4330,0.71,0.82,asthma:0.488,True,False
STAT6,1,0.467,asthma,2,1128,0.67,0.81,asthma:0.467,False,False
PPP1R15B,1,0.462,multiple_sclerosis,3,199,0.57,0.77,multiple_sclerosis:0.462,False,False
ACACA,1,0.461,multiple_sclerosis,1,913,0.92,0.83,multiple_sclerosis:0.461,False,False
SMG8,1,0.447,multiple_sclerosis,3,756,0.86,0.83,multiple_sclerosis:0.447,False,False
CD5,1,0.445,multiple_sclerosis,2,1201,0.76,0.83,multiple_sclerosis:0.445,False,False
ADAM19,1,0.415,asthma,1,402,0.38,0.49,asthma:0.415,False,False
PGM1,1,0.41,type_1_diabetes,1,44,0.32,0.37,type_1_diabetes:0.41,False,False
AAGAB,1,0.406,asthma,1,34,0.85,0.82,asthma:0.406,False,False
FUBP1,1,0.401,psoriasis,3,1253,0.62,0.76,psoriasis:0.401,False,False
EGR2,1,0.39,inflammatory_bowel_disease,1,855,0.8,0.81,inflammatory_bowel_disease:0.39,False,False
KLF2,1,0.379,systemic_lupus,1,987,0.76,0.65,systemic_lupus:0.379,False,False
HSPA8,1,0.375,systemic_lupus,1,60,0.37,0.87,systemic_lupus:0.375,False,False
KMT2C,1,0.37,ulcerative_colitis,3,462,0.47,0.75,ulcerative_colitis:0.37,False,False
STAG1,1,0.346,rheumatoid_arthritis,1,39,0.83,0.5,rheumatoid_arthritis:0.346,False,False
MED13,1,0.332,systemic_lupus,1,629,0.88,0.87,systemic_lupus:0.332,False,True
RFT1,1,0.328,crohns,1,428,0.63,0.8,crohns:0.328,False,False
RTRAF,1,0.31,celiac,2,2287,0.72,0.79,celiac:0.31,False,False
MED15,1,0.309,psoriasis,3,2807,0.85,0.77,psoriasis:0.309,False,True
CCDC93,1,0.308,ulcerative_colitis,2,403,0.4,0.77,ulcerative_colitis:0.308,False,False
TUFM,1,0.305,ulcerative_colitis,1,652,0.32,0.63,ulcerative_colitis:0.305,False,False
SP3,1,0.302,vitiligo,1,113,0.67,0.7,vitiligo:0.302,False,False
ELP6,1,0.3,crohns,1,38,0.53,0.4,crohns:0.3,False,False
FAAP24,1,0.298,vitiligo,1,36,0.65,0.87,vitiligo:0.298,False,False
SSR3,1,0.294,type_1_diabetes,2,66,1.0,0.92,type_1_diabetes:0.294,False,False
TXNL1,1,0.294,ulcerative_colitis,1,173,0.69,0.39,ulcerative_colitis:0.294,False,False
GLS,1,0.284,systemic_lupus,1,320,0.72,0.72,systemic_lupus:0.284,False,False
ACTR2,1,0.282,psoriasis,3,1049,0.38,0.65,psoriasis:0.282,False,False
PRKD2,1,0.28,type_1_diabetes,2,72,0.94,0.88,type_1_diabetes:0.28,False,False
ITK,1,0.28,vitiligo,2,3393,0.59,0.72,vitiligo:0.28,True,False
CREBBP,1,0.279,ulcerative_colitis,3,2969,0.78,0.79,ulcerative_colitis:0.279,False,True
ATRX,1,0.277,ulcerative_colitis,3,831,0.73,0.76,ulcerative_colitis:0.277,False,False
RBPJ,1,0.276,type_1_diabetes,3,120,0.91,0.84,type_1_diabetes:0.276,False,False
DNAJC24,1,0.272,systemic_lupus,3,464,0.5,0.74,systemic_lupus:0.272,False,False
TMEM131L,1,0.259,vitiligo,1,204,0.81,0.55,vitiligo:0.259,False,False
EPG5,1,0.255,celiac,1,45,0.79,0.87,celiac:0.255,False,False
SPTLC2,1,0.239,vitiligo,2,232,0.36,0.68,vitiligo:0.239,False,False
GYPC,1,0.236,vitiligo,1,39,0.35,0.76,vitiligo:0.236,False,False
SMARCA4,1,0.208,celiac,1,165,0.5,0.8,celiac:0.208,False,False
GNPDA2,1,0.206,celiac,1,167,1.0,0.8,celiac:0.206,False,False
CEP89,1,0.192,vitiligo,1,176,0.86,0.82,vitiligo:0.192,False,False
FANCA,1,0.178,vitiligo,1,40,0.8,0.84,vitiligo:0.178,False,False
ANKRD10,1,0.159,celiac,1,34,0.67,0.91,celiac:0.159,False,False
