gene_a,gene_b,uniprot_a,uniprot_b,cluster,score,bench_fdr,high_conf,high_conf_novel,conf_pvalue,certified@0.05,certified@0.1,certified@0.2,audit_verdict_q0.10,source
GNG2,GNB2,P59768,P62879,C5312,0.93,0.0,True,True,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
GNG2,GNB4,P59768,Q9HAV0,C5312,0.924,0.0,True,True,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
FBXO11,SKP1,Q86XK2,P63208,C5286,0.914,0.0,True,True,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
POLR2B,POLR3A,P30876,O14802,C5296,0.904,0.0,True,True,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
PRMT5,WDR77,O14744,Q9BQA1,C5284,0.898,0.0,True,False,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
FBXW2,SKP1,Q9UKT8,P63208,C5286,0.898,0.0,True,True,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
POLR2B,POLR2C,P30876,P19387,C5296,0.898,0.0,True,False,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
GFOD1,GFOD2,Q9NXC2,Q3B7J2,C5419,0.884,0.0,True,True,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
LAMTOR2,LAMTOR5,Q9Y2Q5,O43504,C5409,0.88,0.0,True,False,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
FBXL17,SKP1,Q9UF56,P63208,C5286,0.876,0.0,True,False,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
ARPC1A,ARPC1B,Q92747,O15143,C5404,0.874,0.0,True,True,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
RAN,RCC1,P62826,P18754,C5334,0.868,0.0,True,False,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
EIF3B,EIF3I,P55884,Q13347,C5340,0.868,0.0,True,False,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
BCAS3,PHAF1,Q9H6U6,Q9BSU1,C5395,0.864,0.0,True,True,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
STN1,TEN1,Q9H668,Q86WV5,C5344,0.864,0.0,True,False,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
FTSJ1,WDR6,Q9UET6,Q9NNW5,C5325,0.86,0.0,True,False,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
ARPC1A,ARPC5,Q92747,O15511,C5404,0.854,0.0,True,False,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
FBXL19,SKP1,Q6PCT2,P63208,C5286,0.852,0.0,True,True,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
WDR26,YPEL5,Q9H7D7,P62699,C5304,0.844,0.0,True,True,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
POLR2B,POLR2I,P30876,P36954,C5296,0.844,0.0,True,False,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
ARPC1B,ARPC5,O15143,O15511,C5404,0.838,0.0,True,False,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
PTAR1,YKT6,Q7Z6K3,O15498,C5384,0.836,0.0,True,False,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
FBXO46,SKP1,Q6PJ61,P63208,C5286,0.834,0.0,True,True,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
WASHC4,WASHC5,Q2M389,Q12768,C5348,0.82,0.0,True,True,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
KDM2A,SKP1,Q9Y2K7,P63208,C5286,0.816,0.0,True,False,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
LSM4,LSM7,Q9Y4Z0,Q9UK45,C5284,0.812,0.0,True,False,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
POLR3A,POLR3H,O14802,Q9Y535,C5296,0.808,0.0,True,False,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
ATL2,ATL3,Q8NHH9,Q6DD88,C5357,0.788,0.0,True,True,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
GNAS,GNB4,P63092,Q9HAV0,C5312,0.786,0.0,True,True,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
GNAS,GNB2,P63092,P62879,C5312,0.786,0.0,True,True,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
CLP1,TSEN54,Q92989,Q7Z6J9,C5317,0.786,0.0,True,True,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
ERH,TASOR2,P84090,Q5VWN6,C5303,0.778,0.0,True,True,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
NELFA,NELFCD,Q9H3P2,Q8IXH7,C5310,0.776,0.0,True,False,0.0011049723756906078,True,True,True,certified,cm4ai_schaffer2025_table5
EXOSC2,EXOSC5,Q13868,Q9NQT4,C5410,0.77,0.0294117647058823,True,False,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
RAB27B,SYTL4,O00194,Q96C24,C5294,0.766,0.0277777777777777,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
CUL1,SKP1,Q13616,P63208,C5286,0.766,0.0285714285714285,True,False,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
PPP1CC,ZFYVE9,P36873,O95405,C5335,0.764,0.027027027027027,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
NELFB,NELFE,Q8WX92,P18615,C5310,0.758,0.0263157894736842,True,False,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
RAB27B,SYTL2,O00194,Q9HCH5,C5294,0.748,0.0256410256410256,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
CTC1,STN1,Q2NKJ3,Q9H668,C5344,0.746,0.025,True,False,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
NELFB,NELFCD,Q8WX92,Q8IXH7,C5310,0.742,0.024390243902439,True,False,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
CST6,CTSV,Q15828,O60911,C5332,0.732,0.0476190476190476,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
CCDC9B,ERH,Q6ZUT6,P84090,C5303,0.724,0.0465116279069767,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
PRKAR2B,PRKX,P31323,P51817,C5413,0.722,0.0454545454545454,True,False,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
GSK3A,GSKIP,P49840,Q9P0R6,C5398,0.72,0.0444444444444444,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
MRPL46,MRPL48,Q9H2W6,Q96GC5,C5319,0.708,0.0434782608695652,True,False,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
CDK9,TCEANC2,P50750,Q96MN5,C5315,0.704,0.0416666666666666,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
TAF5,TAF6,Q15542,P49848,C5350,0.704,0.0416666666666666,True,False,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
GID4,YPEL5,Q8IVV7,P62699,C5304,0.702,0.0408163265306122,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
SEPTIN3,SEPTIN6,Q9UH03-1,Q14141,C5309,0.7,0.0392156862745098,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
SEPTIN3,SEPTIN8,Q9UH03-1,Q92599,C5309,0.7,0.0392156862745098,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
